기준일,시장구분,시가,고가,저가,종가,수정주가,거래량,거래대금,시가총액,외국인시가총액,PER,FPER,PBR,DY,created_at,updated_at,신용잔고,예탁금
1996-12-02,KOSDAQ,1259.8,1259.8,1259.8,1259.8,,166528,,,,,,,,,,,
1996-12-02,KOSPI,724.75,735.15,724.75,727.83,,23468800,,,,,,,,,,,
1996-12-03,KOSDAQ,1263.4,1263.4,1263.4,1263.4,,88806,,,,,,,,,,,
1996-12-03,KOSPI,726.82,732.22,722.18,725.59,,27013500,,,,,,,,,,,
1996-12-04,KOSDAQ,1263.6,1263.6,1263.6,1263.6,,335974,,,,,,,,,,,
1996-12-04,KOSPI,725.72,728.14,713.59,715.87,,27725000,,,,,,,,,,,
1996-12-05,KOSDAQ,1258.8,1258.8,1258.8,1258.8,,59615,,,,,,,,,,,
1996-12-05,KOSPI,713.96,714.31,705.96,706.3,,25567600,,,,,,,,,,,
1996-12-06,KOSDAQ,1255.9,1255.9,1255.9,1255.9,,189027,,,,,,,,,,,
1996-12-06,KOSPI,705.57,713.25,698.12,699.89,,23935500,,,,,,,,,,,
1996-12-07,KOSDAQ,1255.5,1255.5,1255.5,1255.5,,63577,,,,,,,,,,,
1996-12-07,KOSPI,700.05,704.8,696.11,696.11,,14149100,,,,,,,,,,,
1996-12-09,KOSDAQ,1250.7,1250.7,1250.7,1250.7,,65597,,,,,,,,,,,
1996-12-09,KOSPI,701.22,707.52,692.15,692.17,,24199400,,,,,,,,,,,
1996-12-10,KOSDAQ,1248.6,1248.6,1248.6,1248.6,,90912,,,,,,,,,,,
1996-12-10,KOSPI,693.42,702.83,693.42,702.83,,23968000,,,,,,,,,,,
1996-12-11,KOSDAQ,1244.6,1244.6,1244.6,1244.6,,234786,,,,,,,,,,,
1996-12-11,KOSPI,705.99,709.48,704.43,704.68,,28038700,,,,,,,,,,,
1996-12-12,KOSDAQ,1231.8,1231.8,1231.8,1231.8,,152773,,,,,,,,,,,
1996-12-12,KOSPI,705.11,706.01,688.74,689.38,,25889000,,,,,,,,,,,
1996-12-13,KOSDAQ,1223.8,1223.8,1223.8,1223.8,,303056,,,,,,,,,,,
1996-12-13,KOSPI,690.44,695.72,677.64,689.07,,26462100,,,,,,,,,,,
1996-12-14,KOSDAQ,1216.7,1216.7,1216.7,1216.7,,127806,,,,,,,,,,,
1996-12-14,KOSPI,689.3,694.11,686.91,687.34,,14570100,,,,,,,,,,,
1996-12-16,KOSDAQ,1208,1208,1208,1208,,131787,,,,,,,,,,,
1996-12-16,KOSPI,686.97,686.97,667.71,673.92,,22797600,,,,,,,,,,,
1996-12-17,KOSDAQ,1205.2,1205.2,1205.2,1205.2,,106065,,,,,,,,,,,
1996-12-17,KOSPI,675.35,680.09,660.39,663.35,,31590900,,,,,,,,,,,
1996-12-18,KOSDAQ,1199.5,1199.5,1199.5,1199.5,,267105,,,,,,,,,,,
1996-12-18,KOSPI,662.07,671.43,655.47,661.39,,31497900,,,,,,,,,,,
1996-12-19,KOSDAQ,1207.1,1207.1,1207.1,1207.1,,146546,,,,,,,,,,,
1996-12-19,KOSPI,668.13,690.97,668.13,690.97,,30383000,,,,,,,,,,,
1996-12-20,KOSDAQ,1207.8,1207.8,1207.8,1207.8,,301591,,,,,,,,,,,
1996-12-20,KOSPI,695.33,703.51,692.47,700.87,,29999200,,,,,,,,,,,
1996-12-21,KOSDAQ,1207.9,1207.9,1207.9,1207.9,,127583,,,,,,,,,,,
1996-12-21,KOSPI,699.46,700.07,693.03,693.14,,21508800,,,,,,,,,,,
1996-12-23,KOSDAQ,1202.5,1202.5,1202.5,1202.5,,184610,,,,,,,,,,,
1996-12-23,KOSPI,691.98,697.12,684.81,684.81,,21536600,,,,,,,,,,,
1996-12-24,KOSDAQ,1200.5,1200.5,1200.5,1200.5,,275579,,,,,,,,,,,
